highway,1.0
updated,0.668303650672
exit,0.632033607479
blocked,0.53097449855
lane,0.452990947281
station,0.38571682149
construction,0.316194308029
cleared,0.309508313118
north,0.2891544879
right,0.282290988699
south,0.275368321401
crash,0.261818827288
left,0.247559316017
new,0.232885628069
street,0.230755576593
lanes,0.229276374179
closed,0.224542926454
traffic,0.222412874978
east,0.195609727235
planned,0.195077214366
west,0.190343766641
turnpike,0.184959469854
vehicle,0.174072540086
sr,0.164073131767
update,0.162357256967
ramp,0.154310395835
rd,0.143127625584
incident,0.131885687237
road,0.128039760961
ct,0.127980592864
accident,0.127921424768
mile,0.125022188036
marker,0.121353766049
st,0.120939589373
congestion,0.11892787409
avenue,0.118099520738
directions,0.106975918585
ave,0.105260043784
caution,0.0927755754097
roadway,0.0836045204426
traveling,0.082598662801
nb,0.0796994260695
sb,0.0745518016685
info,0.0672741257914
disabled,0.059345600852
blvd,0.0582805751139
northbound,0.0544938169339
southbound,0.0492278563399
travel,0.0479853263121
object,0.0475711496361
westbound,0.0471569729602
nw,0.0462694515117
eb,0.0453819300633
wb,0.0449085852908
central,0.0443760724218
bridge,0.043666055263
eastbound,0.0428968700077
stop,0.0409443228211
cr,0.0382817584758
sw,0.0343766641027
route,0.028519022543
shoulder,0.0281048458671
reopened,0.0278681734809
debris,0.0277498372877
routes,0.0272173244187
park,0.0254422815218
emergency,0.0231938938524
dr,0.0219513638246
delays,0.0217146914384
vehicles,0.0182829418378
near,0.0182829418378
center,0.0172179160996
due,0.0169812437134
activity,0.0169220756168
police,0.0168037394237
square,0.0165670670375
ctr,0.0126619726643
line,0.0126028045678
state,0.0121886278918
hwy,0.0117744512159
work,0.0114194426365
flooding,0.0110644340572
main,0.0108869297675
status,0.0103544168984
closure,0.0102360807053
alternate,0.0101769126087
blockage,0.0101769126087
effect,0.0101177445122
closures,0.00994024022247
conditions,0.00970356783622
roads,0.00964439973966
delay,0.00952606354654
approaching,0.00946689544997
volume,0.00881604638779
season,0.0086385420981
open,0.00822436542216
truck,0.00822436542216
drive,0.0076918525531
updates,0.00751434826342
trailer,0.00715933968404
tractor,0.00715933968404
close,0.00710017158748
motorists,0.00656765871842
high,0.00644932252529
clearing,0.00568013726998
weather,0.00508845630436
heading,0.0045559434353
notice,0.00449677533874
dead,0.00449677533874
powerlines,0.00443760724218
toll,0.00426010295249
enforced,0.00426010295249
overturned,0.0040825986628
expect,0.0040825986628
repairs,0.00384592627655
details,0.0036092538903
gate,0.00355008579374
slow,0.00349091769718
help,0.00343174960062
boulevard,0.00331341340749
service,0.00319507721437
drivers,0.00307674102124
restrictions,0.00272173244187
information,0.00266256434531
entrance,0.00266256434531
driving,0.00254422815218
alerts,0.00254422815218
interchange,0.00254422815218
ln,0.00254422815218
coordination,0.00230755576593
sign,0.00230755576593
interstate,0.00195254718656
ahead,0.00195254718656
access,0.00189337908999
ramps,0.00189337908999
passenger,0.00183421099343
car,0.00183421099343
collision,0.00177504289687
express,0.00171587480031
stalled,0.00153837051062
bus,0.00153837051062
clear,0.00147920241406
driver,0.0014200343175
blocking,0.00112419383468
potential,0.00106502573812
injured,0.000828353351873
closes,0.00076918525531
miles,0.000591680965623
train,0.000532512869061
speed,0.000473344772499
shut,0.000295840482812
motor,0.000295840482812
beltway,0.000295840482812
killed,0.000236672386249
bike,0.000236672386249
complete,5.91680965623e-05
bicycle,0.0
